,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/uquid,UQUID,Completed,"$17,798,251.00",10.11.2017,$0,$0,0.000,0
https://www.icodata.io/coin/ethlend,ETHLend,Completed,"$17,411,336.00",30.11.2017,$0.017884,$0.229067,12.808,0
https://www.icodata.io/coin/cosmos,Cosmos,Completed,"$17,000,000.00",06.04.2017,$0,$0,0.000,0
https://www.icodata.io/coin/stk,STK,Completed,"$17,000,000.00",29.12.2017,$0.1,$0,0.000,0
https://www.icodata.io/coin/spectre,Spectre,Completed,"$16,610,159.00",10.12.2017,$0.22086,$0,0.000,0
https://www.icodata.io/coin/waves,Waves,Completed,"$16,010,008.00",31.05.2016,$0.188353,$10.9383,58.073,0
https://www.icodata.io/coin/Smart-Mesh,SmartMesh,Completed,"$15,691,200.00",04.12.2017,$0.0167,$0.121685,7.287,0
https://www.icodata.io/coin/decent-bet,DECENT Bet,Completed,"$15,688,980.00",21.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/qtum,Qtum,Completed,"$15,664,829.00",16.04.2017,$0.307154,$53.4442,173.998,0
https://www.icodata.io/coin/maecenas,Maecenas,Completed,"$15,660,106.00",08.10.2017,$0,$1.53778,0.000,0
https://www.icodata.io/coin/propy,Propy,Completed,"$15,370,280.00",15.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/appcoins,AppCoins,Completed,"$15,300,000.00",20.12.2017,$0.273494,$0,0.000,0
https://www.icodata.io/coin/cfun,CFun,Completed,"$15,000,000.00",19.12.2017,$0.03,$0,0.000,0
https://www.icodata.io/coin/red-pulse,Red Pulse,Completed,"$15,000,000.00",08.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/airtoken,Airtoken,Completed,"$15,000,000.00",06.10.2017,$0,$0,0.000,0
https://www.icodata.io/coin/fortknoxster,FortKnoxster,Completed,"$15,000,000.00",12.01.2018,$0.19,$0,0.000,0
https://www.icodata.io/coin/tokens,Dynamic Trading Rights,Completed,"$15,000,000.00",26.11.2017,$0.01,$0.195841,19.584,0
https://www.icodata.io/coin/cindicator,Cindicator,Completed,"$15,000,000.00",24.09.2017,$0,$0,0.000,0
